fieldmap_name:	BD-035
timestamp:	2017-04-03_11-51-47
filename:	2017-04-03_BD-035_Model09_Hall_I=991.63A.dat
nr_magnets:	1

magnet_name:	BD-035
gap[mm]:	28
control_gap:	--
magnet_length[mm]:	1206
current_main[A]:	991.63
NI_main[A.esp]:	11899.56
center_pos_z[mm]:	0
center_pos_x[mm]:	0
rotation[deg]:	0

X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
-12.000	0.000	-735.500	-3.8323933069e-06, -6.6428248567e-03, 1.8101870141e-04
-10.000	0.000	-735.500	-1.9772469208e-05, -6.6751235692e-03, 1.7990610155e-04
-8.000	0.000	-735.500	-3.5641816141e-05, -6.7029132387e-03, 1.7886384910e-04
-6.000	0.000	-735.500	-5.1312005189e-05, -6.7263832898e-03, 1.7719772618e-04
-4.000	0.000	-735.500	-6.5861698477e-05, -6.7438586166e-03, 1.7476888922e-04
-2.000	0.000	-735.500	-7.9519834507e-05, -6.7573727455e-03, 1.7236226722e-04
0.000	0.000	-735.500	-9.2301303589e-05, -6.7646990117e-03, 1.6987419033e-04
2.000	0.000	-735.500	-1.0428055727e-04, -6.7670482453e-03, 1.6670485429e-04
4.000	0.000	-735.500	-1.1755899041e-04, -6.7642384504e-03, 1.6363918812e-04
6.000	0.000	-735.500	-1.2928697013e-04, -6.7568249005e-03, 1.6049576954e-04
8.000	0.000	-735.500	-1.3961712207e-04, -6.7432587727e-03, 1.5614903997e-04
10.000	0.000	-735.500	-1.5043493164e-04, -6.7260582970e-03, 1.5197632769e-04
12.000	0.000	-735.500	-1.6052497735e-04, -6.7025529610e-03, 1.4809055879e-04
14.000	0.000	-735.500	-1.6997846234e-04, -6.6742544456e-03, 1.4393265648e-04
16.000	0.000	-735.500	-1.7990657594e-04, -6.6419724471e-03, 1.3992655648e-04
18.000	0.000	-735.500	-1.8858948744e-04, -6.6054246860e-03, 1.3522438736e-04
20.000	0.000	-735.500	-1.9689083477e-04, -6.5634857587e-03, 1.3067587179e-04
22.000	0.000	-735.500	-2.0588644276e-04, -6.5172680692e-03, 1.2604775257e-04
24.000	0.000	-735.500	-2.1414870303e-04, -6.4666936191e-03, 1.2086425904e-04
26.000	0.000	-735.500	-2.2155477052e-04, -6.4131589489e-03, 1.1615098243e-04
28.000	0.000	-735.500	-2.2918791523e-04, -6.3549462396e-03, 1.1103228257e-04
30.000	0.000	-735.500	-2.3672427292e-04, -6.2931066108e-03, 1.0598763262e-04
32.000	0.000	-735.500	-2.4430902413e-04, -6.2277552026e-03, 1.0100407385e-04
34.000	0.000	-735.500	-2.5187143987e-04, -6.1593971468e-03, 9.6011258834e-05
36.000	0.000	-735.500	-2.5980425204e-04, -6.0882552956e-03, 9.1190609855e-05
38.000	0.000	-735.500	-2.6772403520e-04, -6.0140232272e-03, 8.6405134582e-05
40.000	0.000	-735.500	-2.7492908352e-04, -5.9360750984e-03, 8.1106863699e-05
42.000	0.000	-735.500	-2.8282466993e-04, -5.8560711579e-03, 7.5906708944e-05
44.000	0.000	-735.500	-2.9129353323e-04, -5.7733985624e-03, 7.1191581083e-05
46.000	0.000	-735.500	-3.0086986328e-04, -5.6894761374e-03, 6.5891458953e-05
48.000	0.000	-735.500	-3.0996225828e-04, -5.6038210366e-03, 6.0685750455e-05
50.000	0.000	-735.500	-3.1925008858e-04, -5.5142325944e-03, 5.5480041957e-05
-50.000	0.000	-733.500	3.5308459346e-04, -5.5448450585e-03, 1.2342638584e-04
-48.000	0.000	-733.500	3.3447170707e-04, -5.6569805722e-03, 1.3020195238e-04
-46.000	0.000	-733.500	3.1599841733e-04, -5.7684271012e-03, 1.3568164554e-04
-44.000	0.000	-733.500	2.9817285604e-04, -5.8764621344e-03, 1.4122983486e-04
-42.000	0.000	-733.500	2.7877450585e-04, -5.9815053768e-03, 1.4688169405e-04
-40.000	0.000	-733.500	2.5941152014e-04, -6.0840805310e-03, 1.5225771733e-04
-38.000	0.000	-733.500	2.4061064360e-04, -6.1829173396e-03, 1.5628788355e-04
-36.000	0.000	-733.500	2.2037285223e-04, -6.2784522214e-03, 1.6096228396e-04
-34.000	0.000	-733.500	2.0086096344e-04, -6.3710844532e-03, 1.6454629949e-04
-32.000	0.000	-733.500	1.8152031319e-04, -6.4593914953e-03, 1.6775266048e-04
-30.000	0.000	-733.500	1.6196375347e-04, -6.5443743253e-03, 1.7103492263e-04
-28.000	0.000	-733.500	1.4310517698e-04, -6.6244358359e-03, 1.7409318381e-04
-26.000	0.000	-733.500	1.2256399556e-04, -6.7003931517e-03, 1.7534832974e-04
-24.000	0.000	-733.500	1.0380592866e-04, -6.7714458621e-03, 1.7777161297e-04
-22.000	0.000	-733.500	8.4683049191e-05, -6.8392505015e-03, 1.7934332225e-04
