fieldmap_name:     	BD-006
timestamp:         	2017-03-14_08-00-00
filename:          	2017-03-14_BD-006_Model09_Hall_I=996.5A_4.dat
nr_magnets:        	1

magnet_name:       	BD-006
gap[mm]:           	28
control_gap[mm]:   	--
magnet_length[mm]: 	1206
current_main[A]:   	996.5
NI_main[A.esp]:   	11958
center_pos_z[mm]: 	0
center_pos_x[mm]: 	0
rotation[deg]:    	0

X[mm]	Y[mm]	Z[mm]	Bx  By  Bz [T]
-28.000	0.000	-733.500	1.3040746589e-04  -6.3783568634e-03  -4.3474700701e-04
-26.000	0.000	-733.500	1.3122643289e-04  -6.4543141793e-03  -4.3841617993e-04
-24.000	0.000	-733.500	1.3089326222e-04  -6.5251978934e-03  -4.4191874055e-04
-22.000	0.000	-733.500	1.3155215840e-04  -6.5921408377e-03  -4.4566566587e-04
-20.000	0.000	-733.500	1.3104588789e-04  -6.6538968970e-03  -4.4912564780e-04
-18.000	0.000	-733.500	1.3200817412e-04  -6.7099182263e-03  -4.5243197617e-04
-16.000	0.000	-733.500	1.3325151493e-04  -6.7617740765e-03  -4.5585123065e-04
-14.000	0.000	-733.500	1.3413934961e-04  -6.8085228971e-03  -4.5818010024e-04
-12.000	0.000	-733.500	1.3644362494e-04  -6.8503466841e-03  -4.6070335084e-04
-10.000	0.000	-733.500	1.3697595349e-04  -6.8855536178e-03  -4.6286005440e-04
-8.000	0.000	-733.500	1.3783773013e-04  -6.9158800882e-03  -4.6530925509e-04
-6.000	0.000	-733.500	1.4015131191e-04  -6.9415210911e-03  -4.6691058434e-04
-4.000	0.000	-733.500	1.4130158829e-04  -6.9597968288e-03  -4.6842675620e-04
-2.000	0.000	-733.500	1.4278503533e-04  -6.9731568183e-03  -4.6964487717e-04
0.000	0.000	-733.500	1.4490690438e-04  -6.9809789305e-03  -4.7105367666e-04
2.000	0.000	-733.500	1.4542806520e-04  -6.9833318784e-03  -4.7261612971e-04
4.000	0.000	-733.500	1.4728004740e-04  -6.9804830844e-03  -4.7318816525e-04
6.000	0.000	-733.500	1.4897940392e-04  -6.9708168701e-03  -4.7275867579e-04
