X[mm]	Y[mm]	Z[mm]	Bx, By, Bz [T]
36.000	0.000	-733.500	-4.1175241135e-04, -6.1337784291e-03, 1.4759257316e-04
38.000	0.000	-733.500	-4.1605384939e-04, -6.0579176826e-03, 1.3893058523e-04
40.000	0.000	-733.500	-4.2151114768e-04, -5.9777298891e-03, 1.2961325562e-04
42.000	0.000	-733.500	-4.2594659850e-04, -5.8966005450e-03, 1.2080316787e-04
44.000	0.000	-733.500	-4.3158444179e-04, -5.8129715421e-03, 1.1239665212e-04
46.000	0.000	-733.500	-4.3639028905e-04, -5.7265736006e-03, 1.0411602121e-04
48.000	0.000	-733.500	-4.4219192574e-04, -5.6384652685e-03, 9.4804245342e-05
50.000	0.000	-733.500	-4.4907497113e-04, -5.5485369767e-03, 8.6947550155e-05
-50.000	0.000	-731.500	2.6715261959e-04, -5.5350079909e-03, 3.3176580063e-04
-48.000	0.000	-731.500	2.4104432385e-04, -5.6486551854e-03, 3.3789343048e-04
-46.000	0.000	-731.500	2.1536970837e-04, -5.7630953623e-03, 3.4390998546e-04
-44.000	0.000	-731.500	1.8716001777e-04, -5.8770564069e-03, 3.4830484748e-04
-42.000	0.000	-731.500	1.6218338553e-04, -5.9864192678e-03, 3.5350500223e-04
-40.000	0.000	-731.500	1.3554648382e-04, -6.0911412316e-03, 3.5787579802e-04
-38.000	0.000	-731.500	1.0953683638e-04, -6.1936606728e-03, 3.6131726747e-04
-36.000	0.000	-731.500	8.3145624775e-05, -6.2936563129e-03, 3.6473467070e-04
-34.000	0.000	-731.500	5.7318383626e-05, -6.3897631820e-03, 3.6704502782e-04
-32.000	0.000	-731.500	3.1919238864e-05, -6.4813257232e-03, 3.6862969584e-04
-30.000	0.000	-731.500	7.1882967223e-06, -6.5698760456e-03, 3.6940351737e-04
-28.000	0.000	-731.500	-1.7959574074e-05, -6.6544521704e-03, 3.6987743678e-04
-26.000	0.000	-731.500	-4.3328938218e-05, -6.7340234061e-03, 3.6966824579e-04
-24.000	0.000	-731.500	-6.6444281821e-05, -6.8081366200e-03, 3.6816318142e-04
-22.000	0.000	-731.500	-9.0373008559e-05, -6.8786749131e-03, 3.6652667847e-04
-20.000	0.000	-731.500	-1.1249070145e-04, -6.9428229194e-03, 3.6494201045e-04
-18.000	0.000	-731.500	-1.3437573326e-04, -7.0024265979e-03, 3.6149128476e-04
-16.000	0.000	-731.500	-1.5585128158e-04, -7.0571962406e-03, 3.5784062432e-04
-14.000	0.000	-731.500	-1.7550462831e-04, -7.1057148792e-03, 3.5329025750e-04
-12.000	0.000	-731.500	-1.9407656635e-04, -7.1501627508e-03, 3.4843628606e-04
-10.000	0.000	-731.500	-2.1191143408e-04, -7.1878879143e-03, 3.4317318888e-04
-8.000	0.000	-731.500	-2.3065461067e-04, -7.2200213447e-03, 3.3703815405e-04
-6.000	0.000	-731.500	-2.4705256358e-04, -7.2474860215e-03, 3.3099753284e-04
-4.000	0.000	-731.500	-2.6198382104e-04, -7.2669521613e-03, 3.2376841062e-04
-2.000	0.000	-731.500	-2.7698580747e-04, -7.2818405455e-03, 3.1645227976e-04
0.000	0.000	-731.500	-2.9150199756e-04, -7.2912319087e-03, 3.0861409705e-04
2.000	0.000	-731.500	-3.0349986412e-04, -7.2951299651e-03, 3.0117948633e-04
4.000	0.000	-731.500	-3.1499146018e-04, -7.2913136212e-03, 2.9197508283e-04
6.000	0.000	-731.500	-3.2672874633e-04, -7.2833800828e-03, 2.8424612373e-04
8.000	0.000	-731.500	-3.3595701540e-04, -7.2687721210e-03, 2.7438452730e-04
10.000	0.000	-731.500	-3.4517970061e-04, -7.2492818388e-03, 2.6434335984e-04
12.000	0.000	-731.500	-3.5394264752e-04, -7.2232935579e-03, 2.5516117131e-04
14.000	0.000	-731.500	-3.6234078186e-04, -7.1922799598e-03, 2.4559207201e-04
16.000	0.000	-731.500	-3.6882178890e-04, -7.1567238910e-03, 2.3541020973e-04
18.000	0.000	-731.500	-3.7501615749e-04, -7.1158583685e-03, 2.2700739647e-04
20.000	0.000	-731.500	-3.8153252901e-04, -7.0699489579e-03, 2.1530751109e-04
22.000	0.000	-731.500	-3.8562922530e-04, -7.0180336804e-03, 2.0564029566e-04
24.000	0.000	-731.500	-3.9073846262e-04, -6.9631154695e-03, 1.9622855242e-04
26.000	0.000	-731.500	-3.9501012004e-04, -6.9030085165e-03, 1.8590229281e-04
28.000	0.000	-731.500	-3.9975082220e-04, -6.8382588092e-03, 1.7619990368e-04
30.000	0.000	-731.500	-4.0440218251e-04, -6.7698190410e-03, 1.6607172758e-04
32.000	0.000	-731.500	-4.0868314638e-04, -6.6965805220e-03, 1.5700061391e-04
